Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,total,lat,lon
ALAMEDA,0,72.47229709,207.75391835,322.7432963499999,276.36102625,231.91135074,247.37210743,306.31624234000003,354.63110708,386.51891785000004,385.55262048,661.91364679,860.97088948,2142.68553405,4330.3826092,7977.214400430001,11218.17348985,12769.89813287,14174.057429670002,72546.93136458001,37.6090291,-121.899142
ALPINE,0,0.2894003404551336,7.027114344408219,2.233177420044613,6.85918313391798,1.6425609855891365,1.73520334309578,1.8812734557633717,2.0208363418408473,2.0965256616521897,2.2766730925153857,2.878249066491056,3.2570381511577753,7.051720728807349,0,0,0,6.171725041758077,13.2657671336849,81.50437218959546,38.5893934,-119.8345013
AMADOR,0,0.011085236967477326,14.012634624933392,18.680520760661906,15.569108533293006,15.569337260937496,18.68093955775745,20.237033327214952,17.11608057985792,15.560361580108992,14.004642580360066,15.560361580108992,17.11499695827677,17.11608057985792,10.893204580862212,24.894672959006858,31.11754895800256,66.45464176702241,111.7017374333532,607.5581919082351,38.449089,-120.5911018
BUTTE,0,8.433419831124235,38.53825570833324,66.34451361993561,62.78440183817504,55.45997811842821,58.59872375667568,61.81748536374608,75.02650143615213,66.13985739198463,70.4096548253235,80.31060385889712,82.87789656093666,100.06334723782868,88.05542599006532,130.7284389184437,165.32984225431892,286.48107593529653,435.6504617325877,2536.7768202563884,39.6519275,-121.5858444
CALAVERAS,0,0.011085236967477326,22.326980369983765,41.45555242885753,41.45557820098649,41.455806928630984,36.67401049535507,36.67438526506365,31.954549358540707,28.766575538142035,35.14252317893939,31.879738203986733,39.84967275498341,55.78954185697679,25.503790563189387,33.473725114186074,44.63163348558142,89.18450574165144,144.26096043438505,985.9073571283826,38.2558181,-120.4981492
COLUSA,0,4.419399246057779,21.6849447797956,62.10259501055592,54.391371369496625,55.08335950780249,52.498090272368934,50.728710128515246,50.859958877353755,52.01580175709196,52.766812412034426,61.9534097797273,63.73785423669761,108.41512979626152,137.12067338450728,135.82312163937192,159.95672827761624,268.2690816100947,397.9502929298814,2329.6957658587116,39.1465578,-122.2209563
CONTRA COSTA,0,66.66456793519109,211.95913907599214,336.74153546750375,287.1704464900539,256.4021843661195,287.1704464900539,362.38175390411567,451.26784448437047,488.8734981914012,594.8530677293974,781.1719883687776,767.4972052025846,1702.5105041910335,2895.635335441377,5497.2628328096025,7661.297268859653,9514.677249453416,11292.803612611557,56569.51581920266,37.9034806,-121.9175345
DEL NORTE,0,1.4406072906990601,4.356049813107011,6.857105046758797,7.393491750441502,7.126537126439664,8.242637197392947,5.426546319924128,5.506109145986731,5.599974093239179,6.823381162265367,7.5694163652016755,6.039165829732024,11.50494849751471,13.22665923207501,15.307934024451546,30.361107888295326,45.979994420814876,65.37735546912025,341.31454454292054,41.7261767,-123.91328
EL DORADO,0,0,10.223471105910019,27.70984727174295,20.832494077397612,21.518697684517583,22.305118538818355,23.6775257530583,22.822026392163217,22.024504998693406,22.89110489875753,35.527976739217266,44.710454324817505,93.1678955499229,152.06455949844553,254.34970161117576,337.6100949198768,461.8615045748408,596.0773157280702,2908.585751754127,38.7574137,-120.5276129
FRESNO,0,15.839529503769583,45.72514672402955,138.06112678027168,114.51465788309251,112.1436491125194,126.01298962230598,145.96039711740386,149.77650158223952,157.30376314476393,168.93878387728785,195.077403490745,217.72062198917007,347.11181814391534,621.8976857508248,1240.4995190467243,1894.642959995474,2688.235661614635,3529.366794737486,16332.405885004355,36.7394421,-119.7848307
GLENN,0,2.720387104806501,8.060781861162802,16.15770404047305,14.957385843774276,14.683276060262084,16.228591212622,15.088580021338863,17.89342094038435,18.337145982598475,19.394587175795262,22.933901560794794,25.162470709561934,41.61336386943058,54.30460913681713,66.70560314309958,103.57485189483138,150.73711886099505,204.98142004008923,1078.7398848605146,39.5912766,-122.3778662
HUMBOLDT,0,11.153407600242204,22.093573246303396,67.90034823358496,63.4097907194258,60.54644124350487,56.91566817352324,66.49783189127861,61.05406100027116,66.36408417116412,65.08191876998377,74.48269877690969,78.99395179409869,93.1966905440145,106.87037398470335,210.45851803783486,285.1591854153295,387.2716592031191,504.52403242056033,2915.0617879306938,40.5997415,-123.8997734
IMPERIAL,0,8.489331347384297,116.12959137373434,114.5085030184844,81.53767481571086,73.18323448763915,73.90082517339945,82.18567703098454,112.27964451507818,112.49993117516328,122.78441435708532,135.43117235907408,149.542652205473,234.52246734707754,248.55915138048292,436.7160258265265,633.2401983656234,938.2327050075808,1283.8368946342982,6612.477353051277,33.0305487,-115.3595666
INYO,0,2.9758546510425674,13.561642720090724,26.963384913755103,23.117665057023167,20.890176220591897,22.842801881073573,23.344816092516957,25.78308917845011,26.56138962564586,29.41381512440135,35.59971890494131,54.58985985121034,81.4446874593647,86.9603405250817,130.94282954364618,156.72467690068558,222.58525552309672,298.71099654437774,1663.3038220010135,36.5595325,-117.4074712
KERN,0,31.497829831444957,124.10406704064292,258.89011731058866,232.87933851784393,211.6462901934754,219.64473738903177,216.97110006815058,225.46284372242658,220.6216628242088,230.23683028006965,259.260231001095,283.477144719771,459.43250014560573,571.4805829053463,1013.8296352698649,1382.5722922281846,2164.0939653240407,3054.7058170526293,15200.342365337287,35.3145701,-118.7538222
KINGS,0,4.1333442742138375,15.02125316798506,37.919040824541945,35.92038759892971,35.605071545382316,44.59618211712929,55.159283806744575,57.606766881096554,59.41603651599569,58.342171484126666,67.77421724747656,70.82422727552382,102.70495225641487,112.20515844836042,187.4444802986238,259.42626943433817,401.8438266489813,568.7794318915035,2928.721995564165,36.0784807,-119.7956342
LAKE,0,1.421088697976503,29.422063827642702,48.06006806444745,37.55277830563417,29.25949927844992,30.38559903367999,29.584719183369756,32.7414414608967,39.84412065128025,46.08850641662753,39.90459690490226,40.418457468541234,40.209689113472535,29.825762139514225,51.61683609219226,63.78184575056332,104.83817500647746,156.44922321762513,1065.938128802532,36.7014631,-118.7559974
LASSEN,0,2.3785126633578257,7.806856382665836,14.413563248408988,11.675716231841234,10.669783362767463,11.100785252331628,13.780701843734702,14.394001571319052,14.742408404376917,17.625677049973135,20.392173101542088,21.152379537095616,34.13907439615232,43.5086206185748,18.536044462160522,2.8652735148931323,40.79786638704723,87.75382591316918,527.1913403280518,40.7685579,-120.730998
LOS ANGELES,0,608.8007215143507,1530.2653045498137,3393.4960132373453,2800.6381704079527,2520.7288563451193,2693.2171643625397,3044.429781071065,3339.8455499801466,3550.307934814748,3567.5487240590965,4422.62982465372,4645.269195343369,8601.048082369358,12491.167666674646,21819.16642555842,31920.434569561534,40269.386568029484,48720.88274635516,257542.8957893205,34.0536909,-118.2427666
MADERA,0,3.2635424958822,17.03004440836071,31.45757379480145,27.534174329149177,32.84093167501864,32.565110112256285,33.706943813852035,39.79627981285453,38.38792083287672,44.79608000270327,53.49842141297003,59.4593036217688,90.30451051489533,119.14044743268992,197.01156605537508,282.42563821632234,408.9379691639573,553.737651259106,2780.0618508369134,36.9622745,-120.0594685
MARIN,0,20.58982726442107,72.6319085275042,105.24039256127766,96.19122829895075,81.00440701252379,73.51207077348823,82.31255259400835,91.07248237685687,98.48719614777211,112.47425245320836,186.77038249217952,242.84582787965576,591.1583363442185,1008.7633919054549,1772.1647392602324,2500.4733902721932,2813.821101928857,3068.055070219446,16344.015650321815,38.0409144,-122.6199638
MARIPOSA,0,1.704123462544999,3.408246925089998,9.372679043997493,7.668555581452495,6.816493850179995,6.816493850179995,6.816493850179995,7.06888586654071,6.816493850179995,6.816493850179995,7.668555581452495,5.112370387634996,5.964432118907496,2.556185193817498,5.112370387634997,10.224740775269991,17.55916256247203,26.116518298121324,179.15281562481124,37.570148,-119.9036592
MENDOCINO,0,12.314819353253052,24.215554130657868,66.86246105667044,47.871002200158784,44.138311974203106,52.879328110362806,60.04769551173847,68.20409012339066,67.8095044157799,76.25044522029009,84.06225610075043,83.092066993884,107.42578728068537,114.7267420098815,219.52855412899598,308.86286276411016,414.60525039289735,531.1321912252988,3041.726126614144,39.3176491,-123.4126399
